filename,description,technologies,last_merge_date,last_merge_author
01-Explore-ai-studio.md,Prepare for an AI development project. Learn how to organize cloud resources in Microsoft Foundry projects so that developers are set up for success when building AI solutions.,"AI Hub, Azure AI Services, Azure OpenAI, Chat Application, Chat Playground, GPT-4o, Microsoft Foundry",2025-12-03,v-vfarias
02-Explore-model-catalog.md,Choose and deploy a language model. Generative AI applications are built on one or more language models. Learn how to find and select appropriate models for your generative AI project.,"Chat Application, Chat Playground, GPT-4o, Microsoft Foundry, Model Catalog",2025-12-03,v-vfarias
02a-AI-foundry-sdk.md,Create a generative AI chat app. Learn how to use the Microsoft Foundry SDK to build an app that connects to your project and chats with a language model.,"Azure OpenAI, Chat Application, Chat Playground, GPT-4o, Microsoft Foundry, Python SDK",2025-12-03,v-vfarias
03-Use-prompt-flow-chat.md,Use a prompt flow to manage conversation in a chat app. Learn how to use prompt flows to manage conversational dialogs and ensure that prompts are constructed and orchestrated for best results.,"AI Hub, Azure AI Services, Azure OpenAI, Chat Application, Content Filters, GPT-4o, Microsoft Foundry, Prompt Flow",2025-12-03,v-vfarias
04-Use-own-data.md,Create a generative AI app that uses your own data. Learn how to use the Retrieval Augmented Generation (RAG) model to build a chat app that grounds prompts using your own data.,"AI Hub, Azure OpenAI, Chat Application, Chat Playground, Content Filters, Embeddings, GPT-4o, Microsoft Foundry, Model Catalog, Prompt Flow, Python SDK, RAG, Retrieval Augmented Generation, TypeScript",2025-12-03,v-vfarias
05-Finetune-model.md,Fine-tune a language model. Learn how to use your own training data to fine-tune a model and customize its behavior.,"Chat Application, Chat Playground, Content Filters, Fine-tuning, GPT-4o, Microsoft Foundry",2025-12-03,v-vfarias
06-Explore-content-filters.md,Apply content filters to prevent the output of harmful content. Learn how to apply content filters that mitigate potentially offensive or harmful output in your generative AI app.,"Chat Playground, Content Filters, GPT-4o, Microsoft Foundry",2025-12-03,v-vfarias
07-Evaluate-prompt-flow.md,Evaluate generative AI model performance. Learn how to evaluate models and prompts to optimize the performance of your chat app and its ability to respond appropriately.,"AI Hub, Azure OpenAI, Chat Application, Content Filters, Evaluation, GPT-4o, Microsoft Foundry",2025-12-03,v-vfarias
archive/03b-Use-prompt-flow-NER.md,Use prompt flow for Named Entity Recognition (NER). Extracting valuable information from text is known as Named Entity Recognition (NER). Entities are key words that are of interest to you in a given text.,"AI Hub, Azure AI Services, Azure OpenAI, Content Filters, GPT-4, Microsoft Foundry, NER, Named Entity Recognition, Prompt Flow",2025-12-03,v-vfarias
archive/08-Code-first-development.md,"Build a generative AI app using code-first development tools. In this exercise, you'll clone and deploy an Azure Developer CLI template that provisions and [deploys your AI project to an online","AI Hub, Azure AI Services, Azure OpenAI, Chat Application, Embeddings, Evaluation, GPT-4, Microsoft Foundry, RAG, Retrieval Augmented Generation",2025-12-03,v-vfarias
